,competitors,score,actual_placement,adjusted_score,adjusted_placement
0,Tia-Clair Toomey,994,1,1053.5540110014736,2
1,Kara Webb,992,2,1063.938664319803,1
2,Annie Thorisdottir,964,3,1013.3648734181196,3
3,Ragnheiður Sara Sigmundsdottir,944,4,999.2931277047865,4
4,Katrin Tanja Davidsdottir,914,5,970.2541447804765,5
5,Tennil Reed-Beuerlein,888,6,939.3355427371206,6
6,Kristin Holte,826,7,857.2503613760545,7
7,Jamie Greene,796,8,805.3394516040551,8
8,Samantha Briggs,762,9,788.5578371067515,10
9,Kari Pearce,742,10,802.4741557530054,9
10,Alessandra Pichelli,668,11,772.4094965580175,11
11,Cassidy Lance-Mcwherter,658,12,763.1851751933733,12
12,Kristi Eramo,612,13,625.3993045091423,18
13,Brooke Wells,612,14,641.0239173237537,15
14,Carol-Ann Reason-Thibault,612,15,670.5356896481873,13
15,Emily Bridgers,580,16,626.5985922761738,17
16,Chyna Cho,562,17,645.2685160834992,14
17,Thuridur Erla Helgadottir,556,18,631.9209579147413,16
18,Emily Abbott,554,19,613.9469592348225,19
19,Dani Horan,518,20,612.3335748545633,20
20,Alethea Boon,514,21,524.8800529882708,23
21,Bethany Branham,502,22,587.1942781473546,21
22,Mekenzie Riley,484,23,526.9652684781597,22
23,Margaux Alvarez,478,24,512.4482778600898,24
24,Anna Tobias,450,25,492.8793419445831,25
25,Whitney Gelin,446,26,478.3370320101121,27
26,Stacie Tovar,442,27,488.6847055445651,26
27,Kirsten Pedri,408,28,477.85093769606266,28
28,Regan Huckaby,408,29,448.9650906842941,29
29,Lauren Fisher,386,30,414.9401367703458,32
30,Carly Fuhrer,362,31,423.5779432926718,30
31,Valerie Voboril,346,32,423.30725535132376,31
32,Alexis Johnson,340,33,367.4497846541424,33
33,Jessica Griffith,326,34,331.0290197392435,35
34,Madeline Sturt,298,35,345.6157654003223,34
35,Jessica Coughlan,284,36,270.97196910651775,36
36,Casey Campbell,206,37,203.25065892816372,37
37,Carleen Mathews,38,38,77.49059206058787,39
38,Camille Leblanc-Bazinet,58,39,99.697573975497,38
39,Chelsey Hughes,12,40,28.49626485990126,40
